0,211.806801478
1,210.181520753
2,206.350568859
3,206.350568859
4,206.350568859
5,202.653529684
6,202.45588513
7,202.45588513
8,202.45588513
9,201.542879052
10,199.561371038
11,199.561371038
12,199.561371038
13,199.446150677
14,196.657329076
15,196.657329076
16,196.657329076
17,196.657329076
18,196.657329076
19,196.657329076
20,196.657329076
21,196.657329076
22,196.657329076
23,196.657329076
24,196.657329076
25,196.657329076
26,196.657329076
27,196.657329076
28,196.657329076
29,196.657329076
30,196.657329076
31,196.657329076
32,196.657329076
33,196.657329076
34,196.657329076
35,196.657329076
36,196.657329076
37,196.657329076
38,196.657329076
39,196.657329076
40,196.657329076
